CampaignID,StartDate,EndDate,Month,Quarter,Channel,Impressions,Clicks,Leads,Conversions,Click Through Rate,Conversion Rate ,Cost Per Acquisition,Cost Per Mille, Cost_USD , Revenue_USD , ROI ,Calculated ROI,Lead to Conversion Rate,ROAS
CAMP00060,25/07/2025,31/07/2025,Jul,Q3,Email,251355,19173,4752,2305,7.63%,12.02%,USD 0.36,USD 3.30,828.59,2373.46,1.86,186.45%,48.51%,2.86
CAMP00061,22/03/2025,29/03/2025,Mar,Q1,Social,194889,13662,2069,648,7.01%,4.74%,USD 7.47,USD 24.84,4841.37,7640.26,0.58,57.81%,31.32%,1.58
CAMP00062,19/02/2025,03/03/2025,Feb,Q1,Display,165120,13761,6514,3486,8.33%,25.33%,USD 0.06,USD 1.28,212.13,475.47,1.24,124.14%,53.52%,2.24
CAMP00063,26/12/2025,07/01/2026,Dec,Q4,Social,228622,5889,1969,1007,2.58%,17.10%,USD 4.71,USD 20.76,4747.16,13468.54,1.84,183.72%,51.14%,2.84
CAMP00064,02/01/2025,17/01/2025,Jan,Q1,Search,118120,11237,5564,1379,9.51%,12.27%,USD 0.84,USD 9.82,1159.50,2274.99,0.96,96.20%,24.78%,1.96
CAMP00065,23/02/2025,10/03/2025,Feb,Q1,Influencer,81596,2032,344,98,2.49%,4.82%,USD 22.93,USD 27.54,2246.84,5370.37,1.39,139.02%,28.49%,2.39
CAMP00066,16/04/2025,26/04/2025,Apr,Q2,Search,246777,3037,966,284,1.23%,9.35%,USD 5.67,USD 6.53,1610.92,4021.01,1.50,149.61%,29.40%,2.50
CAMP00067,17/09/2025,01/10/2025,Sep,Q3,Social,260878,18993,2734,1507,7.28%,7.93%,USD 0.57,USD 3.27,853.17,1781.61,1.09,108.82%,55.12%,2.09
CAMP00068,06/11/2025,19/11/2025,Nov,Q4,Email,275353,7328,2269,623,2.66%,8.50%,USD 2.93,USD 6.64,1827.14,3211.78,0.76,75.78%,27.46%,1.76
CAMP00069,10/07/2025,25/07/2025,Jul,Q3,Display,58482,4578,2087,936,7.83%,20.45%,USD 2.93,USD 46.89,2742.31,7176.22,1.62,161.69%,44.85%,2.62
CAMP00070,06/08/2025,19/08/2025,Aug,Q3,Display,154148,12571,1806,408,8.16%,3.25%,USD 1.37,USD 3.63,559.75,1180.08,1.11,110.82%,22.59%,2.11
CAMP00071,13/02/2025,21/02/2025,Feb,Q1,Email,122458,3833,796,335,3.13%,8.74%,USD 12.13,USD 33.19,4064.97,5009.16,0.23,23.23%,42.09%,1.23
CAMP00072,11/06/2025,16/06/2025,Jun,Q2,Display,124614,2218,827,212,1.78%,9.56%,USD 18.97,USD 32.27,4021.87,11056.48,1.75,174.91%,25.63%,2.75
CAMP00073,21/07/2025,26/07/2025,Jul,Q3,Influencer,94484,5203,679,292,5.51%,5.61%,USD 13.72,USD 42.42,4007.66,6391.78,0.59,59.49%,43.00%,1.59
CAMP00074,27/09/2025,11/10/2025,Sep,Q3,Influencer,154151,13892,3911,1357,9.01%,9.77%,USD 2.55,USD 22.47,3463.60,6881.77,0.99,98.69%,34.70%,1.99
CAMP00075,17/12/2025,26/12/2025,Dec,Q4,Influencer,186810,16113,3757,1661,8.63%,10.31%,USD 1.40,USD 12.48,2330.79,3327.47,0.43,42.76%,44.21%,1.43
CAMP00076,31/10/2025,06/11/2025,Oct,Q4,Search,279849,5747,2501,894,2.05%,15.56%,USD 4.68,USD 14.96,4185.25,8309.05,0.99,98.53%,35.75%,1.99
CAMP00077,28/09/2025,08/10/2025,Sep,Q3,Email,114165,11054,1322,716,9.68%,6.48%,USD 5.97,USD 37.44,4274.06,5378.93,0.26,25.85%,54.16%,1.26
CAMP00078,03/08/2025,14/08/2025,Aug,Q3,Influencer,15248,514,228,114,3.37%,22.18%,USD 13.15,USD 98.29,1498.74,3196.10,1.13,113.25%,50.00%,2.13
CAMP00079,09/09/2025,14/09/2025,Sep,Q3,Social,94169,3902,1488,800,4.14%,20.50%,USD 3.07,USD 26.09,2456.66,5025.25,1.05,104.56%,53.76%,2.05
CAMP00080,09/07/2025,19/07/2025,Jul,Q3,Influencer,100039,2342,512,147,2.34%,6.28%,USD 7.45,USD 10.94,1094.52,2886.06,1.64,163.68%,28.71%,2.64
CAMP00081,23/10/2025,04/11/2025,Oct,Q4,Search,12461,548,98,25,4.40%,4.56%,USD 54.13,USD 108.61,1353.37,2868.87,1.12,111.98%,25.51%,2.12
CAMP00082,01/08/2025,10/08/2025,Aug,Q3,Social,163070,10959,5261,2225,6.72%,20.30%,USD 0.57,USD 7.79,1270.87,2309.79,0.82,81.75%,42.29%,1.82
CAMP00083,27/07/2025,07/08/2025,Jul,Q3,Email,148893,8270,2659,1460,5.55%,17.65%,USD 2.84,USD 27.89,4152.04,8024.53,0.93,93.27%,54.91%,1.93
CAMP00084,25/08/2025,08/09/2025,Aug,Q3,Email,24870,2100,499,121,8.44%,5.76%,USD 10.98,USD 53.44,1329.00,2936.38,1.21,120.95%,24.25%,2.21
CAMP00085,04/12/2025,14/12/2025,Dec,Q4,Influencer,18410,1246,146,42,6.77%,3.37%,USD 66.12,USD 150.84,2776.94,7439.86,1.68,167.92%,28.77%,2.68
CAMP00086,22/02/2025,02/03/2025,Feb,Q1,Social,92721,3126,519,258,3.37%,8.25%,USD 12.32,USD 34.28,3178.41,3443.69,0.08,8.35%,49.71%,1.08
CAMP00087,07/10/2025,18/10/2025,Oct,Q4,Social,24133,1452,492,189,6.02%,13.02%,USD 19.84,USD 155.35,3748.95,10696.46,1.85,185.32%,38.41%,2.85
CAMP00088,05/08/2025,19/08/2025,Aug,Q3,Influencer,290503,4583,1398,617,1.58%,13.46%,USD 0.39,USD 0.83,242.14,282.76,0.17,16.78%,44.13%,1.17
CAMP00089,09/09/2025,22/09/2025,Sep,Q3,Influencer,197457,12295,4955,2163,6.23%,17.59%,USD 1.12,USD 12.31,2431.16,4107.20,0.69,68.94%,43.65%,1.69
CAMP00090,07/07/2025,21/07/2025,Jul,Q3,Display,32400,1460,633,231,4.51%,15.82%,USD 6.64,USD 47.34,1533.78,2565.03,0.67,67.24%,36.49%,1.67
CAMP00091,10/02/2025,24/02/2025,Feb,Q1,Display,39173,738,191,92,1.88%,12.47%,USD 45.51,USD 106.87,4186.47,8638.77,1.06,106.35%,48.17%,2.06
CAMP00092,06/06/2025,17/06/2025,Jun,Q2,Influencer,16179,609,85,45,3.76%,7.39%,USD 6.22,USD 17.31,280.07,478.73,0.71,70.93%,52.94%,1.71
CAMP00093,15/01/2025,24/01/2025,Jan,Q1,Search,197958,17980,7490,4217,9.08%,23.45%,USD 0.26,USD 5.63,1114.27,1602.92,0.44,43.85%,56.30%,1.44
CAMP00094,28/10/2025,08/11/2025,Oct,Q4,Display,40495,2540,816,178,6.27%,7.01%,USD 9.25,USD 40.68,1647.22,2449.17,0.49,48.69%,21.81%,1.49
CAMP00095,06/03/2025,13/03/2025,Mar,Q1,Influencer,273631,24980,12288,5178,9.13%,20.73%,USD 0.09,USD 1.76,481.42,1430.10,1.97,197.06%,42.14%,2.97
CAMP00096,11/12/2025,17/12/2025,Dec,Q4,Social,19760,928,388,83,4.70%,8.94%,USD 24.55,USD 103.11,2037.55,5446.95,1.67,167.33%,21.39%,2.67
CAMP00097,23/11/2025,08/12/2025,Nov,Q4,Display,96975,9513,2203,1234,9.81%,12.97%,USD 3.03,USD 38.61,3744.47,9776.61,1.61,161.09%,56.01%,2.61
CAMP00098,09/01/2025,18/01/2025,Jan,Q1,Search,97465,4132,1121,416,4.24%,10.07%,USD 2.74,USD 11.70,1140.34,2096.56,0.84,83.85%,37.11%,1.84
CAMP00099,10/12/2025,18/12/2025,Dec,Q4,Email,207899,16239,3154,1766,7.81%,10.88%,USD 2.15,USD 18.26,3796.90,10906.09,1.87,187.24%,55.99%,2.87
CAMP00100,09/05/2025,18/05/2025,May,Q2,Social,296547,11116,3388,931,3.75%,8.38%,USD 2.89,USD 9.08,2692.17,3029.86,0.13,12.54%,27.48%,1.13
CAMP00101,16/05/2025,28/05/2025,May,Q2,Search,204109,3988,1532,405,1.95%,10.16%,USD 4.42,USD 8.77,1789.15,2237.56,0.25,25.06%,26.44%,1.25
CAMP00102,04/03/2025,12/03/2025,Mar,Q1,Search,120625,10250,3536,1991,8.50%,19.42%,USD 0.96,USD 15.81,1907.15,2848.22,0.49,49.34%,56.31%,1.49
CAMP00103,19/05/2025,01/06/2025,May,Q2,Search,6755,531,125,71,7.86%,13.37%,USD 9.44,USD 99.17,669.90,1529.64,1.28,128.34%,56.80%,2.28
CAMP00104,22/03/2025,02/04/2025,Mar,Q1,Social,133500,11194,4805,2434,8.39%,21.74%,USD 0.54,USD 9.92,1323.93,1765.74,0.33,33.37%,50.66%,1.33
CAMP00105,12/06/2025,26/06/2025,Jun,Q2,Search,172230,6367,904,261,3.70%,4.10%,USD 14.11,USD 21.38,3683.00,6157.97,0.67,67.20%,28.87%,1.67
CAMP00106,16/10/2025,27/10/2025,Oct,Q4,Email,76352,5598,879,236,7.33%,4.22%,USD 18.34,USD 56.68,4327.45,5861.25,0.35,35.44%,26.85%,1.35
CAMP00107,18/09/2025,30/09/2025,Sep,Q3,Display,203498,6062,1586,791,2.98%,13.05%,USD 1.77,USD 6.89,1401.43,3642.78,1.60,159.93%,49.87%,2.60
CAMP00108,19/08/2025,29/08/2025,Aug,Q3,Social,117133,1290,491,222,1.10%,17.21%,USD 13.44,USD 25.48,2984.48,8411.37,1.82,181.84%,45.21%,2.82
CAMP00109,10/02/2025,22/02/2025,Feb,Q1,Search,12688,1116,421,231,8.80%,20.70%,USD 1.17,USD 21.29,270.16,729.65,1.70,170.08%,54.87%,2.70
CAMP00110,28/01/2025,04/02/2025,Jan,Q1,Influencer,240876,13758,3392,1053,5.71%,7.65%,USD 0.46,USD 1.99,479.29,505.48,0.05,5.46%,31.04%,1.05
CAMP00111,15/05/2025,29/05/2025,May,Q2,Display,175556,17297,6549,2083,9.85%,12.04%,USD 2.32,USD 27.49,4825.40,7886.67,0.63,63.44%,31.81%,1.63
CAMP00112,20/07/2025,03/08/2025,Jul,Q3,Social,195927,8748,1086,535,4.46%,6.12%,USD 8.40,USD 22.93,4492.88,10222.04,1.28,127.52%,49.26%,2.28
CAMP00113,24/11/2025,29/11/2025,Nov,Q4,Influencer,154651,14864,3210,985,9.61%,6.63%,USD 0.51,USD 3.22,498.28,498.97,0.00,0.14%,30.69%,1.00
CAMP00114,25/09/2025,05/10/2025,Sep,Q3,Influencer,149086,9743,3678,1415,6.54%,14.52%,USD 2.92,USD 27.70,4129.41,10293.46,1.49,149.27%,38.47%,2.49
CAMP00115,02/02/2025,07/02/2025,Feb,Q1,Search,53443,2998,520,212,5.61%,7.07%,USD 2.84,USD 11.27,602.27,1648.75,1.74,173.76%,40.77%,2.74
CAMP00116,17/02/2025,02/03/2025,Feb,Q1,Social,178033,6632,1227,573,3.73%,8.64%,USD 7.26,USD 23.36,4159.67,4805.09,0.16,15.52%,46.70%,1.16
CAMP00117,03/03/2025,09/03/2025,Mar,Q1,Search,194986,16432,2214,747,8.43%,4.55%,USD 6.13,USD 23.47,4576.15,8522.82,0.86,86.24%,33.74%,1.86
CAMP00118,04/08/2025,19/08/2025,Aug,Q3,Email,41397,3501,860,467,8.46%,13.34%,USD 1.82,USD 20.54,850.12,1364.99,0.61,60.56%,54.30%,1.61
CAMP00119,20/10/2025,26/10/2025,Oct,Q4,Influencer,248818,11824,5083,1834,4.75%,15.51%,USD 0.45,USD 3.30,821.44,2377.15,1.89,189.39%,36.08%,2.89
CAMP00120,09/04/2025,20/04/2025,Apr,Q2,Email,183250,13827,6008,1301,7.55%,9.41%,USD 3.57,USD 25.32,4640.20,7653.87,0.65,64.95%,21.65%,1.65
CAMP00121,21/06/2025,27/06/2025,Jun,Q2,Search,6063,304,135,30,5.01%,9.87%,USD 52.57,USD 260.11,1577.02,3409.32,1.16,116.19%,22.22%,2.16
CAMP00122,26/12/2025,09/01/2026,Dec,Q4,Display,80848,6190,709,417,7.66%,6.74%,USD 5.79,USD 29.88,2416.01,2459.79,0.02,1.81%,58.82%,1.02
CAMP00123,02/08/2025,14/08/2025,Aug,Q3,Influencer,172115,17121,8515,3821,9.95%,22.32%,USD 0.42,USD 9.25,1591.75,4255.07,1.67,167.32%,44.87%,2.67
CAMP00124,04/02/2025,14/02/2025,Feb,Q1,Display,115687,3889,1170,463,3.36%,11.91%,USD 8.15,USD 32.60,3771.75,3992.67,0.06,5.86%,39.57%,1.06
CAMP00125,15/08/2025,26/08/2025,Aug,Q3,Social,131230,8800,3951,2164,6.71%,24.59%,USD 0.52,USD 8.64,1134.32,2425.70,1.14,113.85%,54.77%,2.14
CAMP00126,11/04/2025,22/04/2025,Apr,Q2,Influencer,266234,11764,5435,2645,4.42%,22.48%,USD 0.95,USD 9.47,2521.19,6256.15,1.48,148.14%,48.67%,2.48
CAMP00127,11/05/2025,21/05/2025,May,Q2,Email,213347,12662,3872,1055,5.93%,8.33%,USD 4.04,USD 20.00,4267.27,7652.27,0.79,79.32%,27.25%,1.79
CAMP00128,14/09/2025,28/09/2025,Sep,Q3,Display,140141,12426,1496,303,8.87%,2.44%,USD 15.57,USD 33.67,4718.98,5017.85,0.06,6.33%,20.25%,1.06
CAMP00129,05/01/2025,20/01/2025,Jan,Q1,Social,266252,10991,3725,2208,4.13%,20.09%,USD 0.83,USD 6.87,1828.40,5122.16,1.80,180.14%,59.28%,2.80
CAMP00130,06/08/2025,19/08/2025,Aug,Q3,Influencer,151676,2504,585,264,1.65%,10.54%,USD 2.49,USD 4.34,658.45,1140.53,0.73,73.21%,45.13%,1.73
CAMP00131,12/09/2025,25/09/2025,Sep,Q3,Social,19612,1606,293,114,8.19%,7.10%,USD 35.68,USD 207.40,4067.46,7859.64,0.93,93.23%,38.91%,1.93
CAMP00132,25/12/2025,05/01/2026,Dec,Q4,Email,44170,2648,458,264,6.00%,9.97%,USD 2.43,USD 14.55,642.68,1687.78,1.63,162.62%,57.64%,2.63
CAMP00133,10/10/2025,23/10/2025,Oct,Q4,Influencer,181173,9139,2958,1028,5.04%,11.25%,USD 3.81,USD 21.63,3918.51,9096.18,1.32,132.13%,34.75%,2.32
CAMP00134,26/07/2025,09/08/2025,Jul,Q3,Social,70881,1878,266,130,2.65%,6.92%,USD 26.74,USD 49.04,3476.04,5738.04,0.65,65.07%,48.87%,1.65
CAMP00135,15/01/2025,22/01/2025,Jan,Q1,Search,173782,3190,1367,639,1.84%,20.03%,USD 4.59,USD 16.86,2930.04,6098.24,1.08,108.13%,46.74%,2.08
CAMP00136,12/12/2025,19/12/2025,Dec,Q4,Influencer,145435,5102,974,458,3.51%,8.98%,USD 10.27,USD 32.34,4703.50,5587.42,0.19,18.79%,47.02%,1.19
CAMP00137,11/02/2025,16/02/2025,Feb,Q1,Influencer,78960,5898,1885,887,7.47%,15.04%,USD 1.89,USD 21.27,1679.73,3296.20,0.96,96.23%,47.06%,1.96
CAMP00138,28/06/2025,07/07/2025,Jun,Q2,Influencer,16990,799,119,24,4.70%,3.00%,USD 23.22,USD 32.80,557.31,1034.68,0.86,85.66%,20.17%,1.86
CAMP00139,04/03/2025,12/03/2025,Mar,Q1,Influencer,99258,6086,2701,1430,6.13%,23.50%,USD 3.43,USD 49.47,4909.86,12372.32,1.52,151.99%,52.94%,2.52
CAMP00140,18/12/2025,24/12/2025,Dec,Q4,Search,132640,2305,868,494,1.74%,21.43%,USD 4.58,USD 17.05,2261.62,5880.20,1.60,160.00%,56.91%,2.60
CAMP00141,19/08/2025,01/09/2025,Aug,Q3,Email,37137,783,142,53,2.11%,6.77%,USD 41.96,USD 59.88,2223.62,6102.74,1.74,174.45%,37.32%,2.74
CAMP00142,29/08/2025,05/09/2025,Aug,Q3,Search,20573,226,87,36,1.10%,15.93%,USD 14.96,USD 26.18,538.70,1462.29,1.71,171.45%,41.38%,2.71
CAMP00143,21/02/2025,05/03/2025,Feb,Q1,Search,14554,1027,136,44,7.06%,4.28%,USD 85.08,USD 257.21,3743.41,11217.85,2.00,199.67%,32.35%,3.00
CAMP00144,06/04/2025,16/04/2025,Apr,Q2,Social,234726,7933,3243,1666,3.38%,21.00%,USD 2.18,USD 15.46,3628.58,8762.70,1.41,141.49%,51.37%,2.41
